id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
290,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
291,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
292,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
293,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
294,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
295,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
296,3,0,0,0,0,1.0,5,1,0,0,0,0.8333,1
297,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
298,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,1
299,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
300,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
301,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
302,20,0,0,0,0,1.0,20,0,0,0,0,1.0,0
303,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,1
304,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,0
305,16,14,0,0,0,0.5333,51,20,0,0,0,0.7183,1
306,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
307,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
308,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
309,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
310,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
311,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
312,34,0,0,0,0,1.0,43,0,0,0,0,1.0,1
313,8,0,0,0,0,1.0,8,0,0,0,0,1.0,1
314,8,0,0,0,0,1.0,8,0,0,0,0,1.0,1
315,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
316,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
317,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
318,10,12,0,0,0,0.4545,10,12,0,0,0,0.4545,1
319,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
320,21,3,0,0,0,0.875,41,8,0,0,0,0.8367,0
321,2,4,2,0,0,0.25,23,5,2,0,0,0.7667,0
322,0,1,0,0,0,0.0,2,1,0,0,0,0.6667,1
323,22,0,0,0,0,1.0,28,0,0,0,0,1.0,1
324,2,1,0,0,0,0.6667,2,1,0,0,0,0.6667,1
325,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
326,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
327,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
328,20,0,0,0,0,1.0,20,0,0,0,0,1.0,1
329,3,0,0,0,0,1.0,5,1,0,0,0,0.8333,1
330,25,5,0,0,0,0.8333,53,25,0,0,0,0.6795,1
331,4,1,0,0,0,0.8,4,1,0,0,0,0.8,0
332,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
333,9,15,0,0,0,0.375,51,24,0,0,0,0.68,1
334,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
335,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
336,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
337,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
